Admission grade,Previous qualification (grade),Previous qualification,Mother's qualification,Father's qualification,Displaced,Marital status,Nacionality,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Tuition fees up to date
150.0,150.0,39,19,37,0,1,1,6,6,14.333333333333334,1
134.1,135.0,1,34,34,1,2,1,5,0,0.0,0
115.1,121.0,1,1,1,1,1,1,6,6,10.833333333333334,1
123.0,135.0,1,37,37,1,1,1,8,7,13.381428571428572,1
157.8,110.0,12,34,34,0,2,1,8,8,13.75,1
150.0,150.0,39,38,38,1,1,1,6,5,12.857142857142858,1
122.5,126.0,1,12,19,1,1,1,5,3,12.0,1
127.5,144.0,1,1,37,1,1,1,8,7,13.857142857142858,1
127.4,126.0,1,1,1,1,1,1,6,6,15.23076923076923,1
120.1,132.0,1,19,38,0,1,1,6,6,12.333333333333334,1
116.3,125.0,1,19,38,1,1,1,5,5,13.25,1
106.1,110.0,1,19,37,1,1,1,6,1,11.0,0
135.6,130.0,1,38,37,1,1,1,6,5,12.0,1
126.9,130.0,1,3,1,1,1,1,0,0,0.0,1
150.5,144.0,1,37,37,0,1,1,7,6,13.916666666666666,1
126.6,140.0,1,12,5,0,1,1,6,6,14.428571428571429,1
133.2,130.0,1,38,37,0,1,1,9,9,11.666666666666666,1
155.0,170.0,1,1,19,0,1,1,6,6,15.5,1
121.9,100.0,1,37,19,0,1,1,4,0,0.0,0
100.0,100.0,1,38,37,0,1,41,7,3,11.25,0
135.8,140.0,1,19,37,1,1,1,6,6,13.0,1
123.0,133.1,1,1,1,1,1,1,8,7,13.714285714285714,1
141.0,144.0,1,19,1,1,1,1,8,7,12.485714285714286,1
125.8,144.0,1,38,37,0,1,1,8,7,12.471428571428572,1
122.0,130.0,1,29,38,1,1,1,0,0,0.0,1
131.4,145.0,1,1,1,0,1,1,7,7,13.44285714285714,1
123.8,131.0,1,19,37,1,1,1,7,0,0.0,1
125.0,125.0,1,39,3,1,1,1,5,0,0.0,1
140.0,140.0,2,37,37,1,2,1,18,18,14.5,1
151.7,152.0,1,38,19,1,1,1,0,0,0.0,1
109.9,130.0,1,1,19,0,2,1,4,0,0.0,0
132.7,134.0,1,19,37,1,1,1,13,13,14.0,1
123.5,140.0,1,1,1,1,1,1,8,8,14.75,1
120.0,133.1,19,37,38,0,2,1,5,4,12.25,1
134.0,133.1,1,1,19,0,1,1,13,11,13.272727272727272,1
133.7,127.0,1,19,38,1,1,1,6,6,13.0,1
117.9,130.0,1,37,37,0,2,1,1,0,0.0,1
115.3,110.0,1,1,1,1,1,1,6,6,13.857142857142858,1
126.3,127.0,1,19,37,0,1,1,6,6,12.833333333333334,1
126.5,138.0,1,1,1,1,1,41,6,6,12.857142857142858,1
120.0,133.1,1,3,34,0,1,1,5,0,0.0,0
140.0,130.0,3,1,1,0,2,1,7,3,12.333333333333334,0
125.0,132.0,1,38,19,1,1,1,6,6,12.333333333333334,1
134.5,145.0,1,34,34,1,1,6,14,11,11.6875,1
118.7,126.0,1,38,37,1,1,1,6,6,13.571428571428571,1
147.2,143.0,1,19,3,0,1,1,7,7,15.714285714285714,1
142.0,147.0,1,38,38,1,1,1,7,6,14.65,1
121.2,131.0,1,1,3,1,1,1,7,7,12.4,1
161.9,151.0,1,3,3,0,1,1,5,4,13.75,1
120.0,120.0,1,19,19,1,1,26,6,6,13.0,1
134.2,137.0,1,37,37,1,1,1,6,6,13.166666666666666,1
100.0,133.1,12,1,19,1,1,1,5,5,11.2,0
132.7,142.0,1,37,37,1,1,1,7,7,14.7875,1
142.2,139.0,1,37,19,1,1,1,12,12,14.583333333333334,1
114.2,111.0,1,19,19,1,1,1,6,4,13.2,1
120.0,120.0,4,2,3,0,1,1,16,13,13.846153846153848,1
128.4,134.0,1,38,19,1,1,1,6,6,12.5,1
135.9,131.0,1,3,3,0,1,1,6,6,12.571428571428571,1
116.8,122.0,1,1,19,1,1,1,5,4,11.5,1
121.8,110.0,1,37,37,0,1,1,5,0,0.0,0
128.2,120.0,1,37,37,1,2,1,5,0,0.0,1
129.7,136.0,1,38,1,0,1,1,6,6,12.166666666666666,1
124.5,122.0,1,37,37,1,1,1,6,6,11.666666666666666,1
131.0,122.0,1,37,37,1,1,1,7,6,12.516666666666666,1
159.1,143.0,1,37,37,0,1,1,5,5,14.4,1
148.5,120.0,1,38,38,0,1,1,6,6,14.0,1
132.0,126.0,1,38,1,1,1,1,5,3,15.0,1
156.9,152.0,1,1,38,1,1,1,6,6,15.333333333333334,1
126.0,134.0,1,1,19,0,1,1,6,4,11.0,1
119.7,133.0,1,1,19,1,1,1,6,6,12.333333333333334,1
124.3,126.0,1,1,38,1,1,1,8,8,12.98125,1
100.0,100.0,1,34,34,1,2,1,6,5,11.8,1
113.2,123.0,1,1,3,0,1,1,5,3,11.666666666666666,0
134.4,100.0,12,37,37,0,2,1,16,14,12.071428571428571,1
120.8,118.0,1,1,38,1,1,1,6,4,13.25,1
120.0,133.1,3,3,5,1,1,1,3,2,16.0,1
113.0,120.0,1,19,19,1,1,1,5,4,12.2,1
134.9,139.0,1,1,19,1,1,1,6,6,13.666666666666666,1
110.0,100.0,19,34,34,0,4,1,14,12,12.52608695652174,1
117.1,133.1,1,34,19,1,1,1,6,0,0.0,1
123.8,122.0,1,37,19,0,1,1,6,5,12.0,1
125.5,132.0,1,38,19,0,1,1,7,6,13.579999999999998,1
138.4,151.0,1,38,37,1,1,1,6,6,13.666666666666666,1
140.0,140.0,40,3,1,0,1,1,5,5,13.8,1
135.5,140.0,1,37,38,0,1,1,5,2,13.25,0
140.0,140.0,3,37,19,0,2,1,10,5,12.2,1
140.0,150.0,1,38,3,0,1,1,7,7,11.294444444444444,1
114.8,130.0,1,34,34,0,1,1,5,4,13.75,1
109.0,116.0,1,19,37,1,1,1,7,6,12.993333333333334,1
110.0,133.1,1,37,37,0,6,1,5,0,0.0,1
100.0,133.1,1,19,38,1,1,1,6,5,12.5,0
110.0,110.0,39,3,4,1,1,1,6,4,10.75,1
125.2,136.0,1,37,38,1,1,1,6,6,14.0,1
138.6,138.6,6,34,34,1,1,1,6,4,11.5,1
101.5,133.1,1,38,37,1,4,1,7,0,0.0,1
140.9,160.0,1,37,39,0,2,1,11,11,13.545454545454543,1
111.7,118.0,1,1,19,1,1,1,6,6,12.5,1
128.3,136.0,1,1,1,0,1,1,7,7,13.428571428571429,1
115.6,125.0,1,1,1,1,1,1,6,6,13.333333333333334,1
130.0,130.0,1,1,19,0,1,1,6,4,12.0,1
150.9,156.0,1,40,40,1,1,1,6,6,16.0,1
130.0,130.0,3,3,1,0,1,1,5,0,0.0,1
122.7,137.0,1,38,38,1,1,1,7,7,13.778571428571428,1
130.7,137.0,1,40,19,1,1,1,6,5,14.4,1
121.7,136.0,1,1,12,1,1,1,6,5,13.2,1
130.6,133.1,1,34,3,1,1,1,5,0,0.0,0
138.8,145.0,1,37,1,1,1,1,7,6,12.95,1
121.8,127.0,1,1,4,0,1,1,5,5,11.6,1
113.0,120.0,1,38,37,0,1,1,6,4,12.0,1
127.3,114.0,1,38,3,1,1,26,6,3,12.333333333333334,0
131.0,148.0,1,29,38,1,1,1,23,20,14.575,1
110.0,110.0,39,3,5,0,1,1,6,0,0.0,1
128.8,133.0,1,38,38,1,1,1,7,6,11.994444444444444,1
110.4,116.0,1,1,12,1,1,1,6,6,11.5,1
133.5,134.0,1,19,37,1,1,1,7,7,14.05,1
