Admission grade,Previous qualification (grade),Previous qualification,Mother's qualification,Father's qualification,Displaced,Marital status,Nacionality,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Tuition fees up to date,Target
127.3,122.0,1,19,12,1,1,1,0,0,0.0,1,Dropout
142.5,160.0,1,1,3,1,1,1,6,6,14.0,0,Graduate
124.8,122.0,1,37,37,1,1,1,6,0,0.0,0,Dropout
119.6,122.0,1,38,37,1,1,1,6,6,13.428571428571429,1,Graduate
141.5,100.0,1,37,38,0,2,1,6,5,12.333333333333334,1,Graduate
114.8,133.1,19,37,37,0,2,1,5,5,11.857142857142858,1,Graduate
128.4,142.0,1,19,38,1,1,1,7,7,13.3,1,Graduate
113.1,119.0,1,37,37,1,1,1,5,0,0.0,0,Dropout
129.3,137.0,1,1,1,0,1,62,6,6,13.875,1,Graduate
123.0,138.0,1,1,19,1,1,1,6,5,11.4,0,Dropout
130.6,139.0,1,38,19,1,1,1,6,6,12.333333333333334,1,Graduate
119.3,136.0,1,19,38,1,1,1,8,7,13.214285714285714,1,Graduate
130.2,133.0,1,19,37,1,1,1,6,0,0.0,1,Dropout
111.8,110.0,42,1,1,1,1,1,6,6,10.571428571428571,1,Graduate
137.1,149.0,1,38,37,1,1,1,5,4,13.25,1,Graduate
120.7,127.0,1,19,37,1,1,1,6,5,13.2,1,Dropout
127.3,135.0,1,19,1,1,1,1,7,7,13.30625,1,Graduate
136.3,137.0,1,3,19,1,1,1,5,4,12.5,1,Graduate
120.3,122.0,1,1,1,0,1,1,0,0,0.0,1,Graduate
125.5,142.0,1,19,19,1,1,1,8,7,12.857142857142858,1,Graduate
114.9,125.0,1,1,38,1,1,1,6,6,13.375,1,Graduate
123.9,126.0,1,19,19,0,1,1,7,6,13.296666666666669,1,Graduate
116.4,115.0,1,19,38,1,1,1,6,6,11.375,1,Graduate
122.1,135.0,1,19,1,1,1,1,5,5,12.0,1,Graduate
130.0,125.0,1,42,3,1,1,1,6,6,12.833333333333334,1,Graduate
134.5,138.0,1,19,1,1,1,1,6,6,12.666666666666666,1,Graduate
131.4,130.0,1,2,37,0,1,1,5,5,12.4,1,Graduate
102.5,130.0,1,38,37,0,1,1,7,0,0.0,0,Dropout
128.8,133.1,10,34,37,1,1,1,5,0,0.0,1,Dropout
122.9,140.0,1,37,37,0,1,1,5,1,10.0,1,Dropout
113.9,120.0,1,19,19,1,4,1,5,5,11.0,1,Graduate
120.0,120.0,39,4,4,0,1,6,6,3,11.666666666666666,0,Dropout
121.1,126.0,1,3,3,0,1,1,6,4,12.75,1,Dropout
120.4,133.0,1,3,19,1,1,1,5,5,14.8,1,Graduate
100.6,103.0,1,1,3,1,1,1,7,5,13.928,1,Graduate
121.4,120.0,1,1,38,0,1,1,6,4,13.0,0,Dropout
109.7,133.1,1,37,37,0,1,1,5,0,0.0,1,Dropout
127.6,130.0,1,19,19,1,1,1,6,6,11.666666666666666,1,Graduate
132.4,132.0,1,37,19,1,1,1,7,6,13.516666666666666,1,Graduate
133.4,130.0,39,1,19,0,1,1,6,6,11.5,1,Graduate
126.1,139.0,1,37,38,0,1,1,6,5,12.333333333333334,1,Graduate
113.5,130.0,1,19,38,0,1,1,6,6,13.666666666666666,1,Graduate
159.3,167.0,1,37,37,0,1,1,5,5,14.714285714285714,1,Graduate
120.0,130.0,1,38,38,0,1,1,5,5,10.6,1,Dropout
129.1,130.0,1,1,19,1,1,1,7,7,13.044444444444444,1,Graduate
130.0,130.0,3,1,3,0,2,1,6,0,0.0,1,Dropout
155.3,129.0,40,3,3,1,1,1,6,5,13.0,1,Dropout
139.8,141.0,1,38,38,1,1,1,8,8,14.935,1,Graduate
114.9,125.0,1,19,19,0,1,1,7,6,13.133333333333333,1,Graduate
131.9,130.0,39,19,1,0,1,1,6,6,12.0,1,Graduate
126.0,133.1,19,1,1,1,4,1,7,5,11.9,1,Dropout
128.2,139.0,1,19,19,1,1,1,0,0,0.0,1,Graduate
130.0,130.0,39,19,37,1,1,1,6,6,12.571428571428571,1,Graduate
120.1,125.0,1,1,38,0,1,1,5,5,11.2,1,Dropout
130.8,150.0,1,37,19,0,1,1,7,7,11.975,1,Graduate
135.8,141.0,1,19,19,1,1,1,0,0,0.0,1,Dropout
111.7,118.0,1,38,37,1,1,1,6,3,11.666666666666666,1,Dropout
132.9,142.0,1,38,38,1,1,1,6,6,12.333333333333334,1,Graduate
115.5,120.0,1,19,19,1,1,1,5,3,10.333333333333334,1,Dropout
106.0,106.0,1,19,37,1,1,1,6,4,10.5,1,Dropout
120.3,121.0,1,1,19,1,1,1,6,6,13.666666666666666,1,Graduate
130.8,150.0,1,38,37,0,1,1,7,7,14.842857142857142,1,Graduate
117.0,120.0,1,37,37,0,2,1,6,6,12.0,1,Graduate
110.2,114.0,1,19,19,1,1,1,6,5,12.2,1,Dropout
155.7,140.0,2,3,3,1,1,1,1,0,0.0,1,Dropout
180.4,160.0,4,3,3,0,1,1,12,6,12.166666666666666,1,Dropout
110.0,130.0,1,37,37,1,2,1,6,6,11.0,1,Graduate
161.0,160.0,1,37,38,1,1,1,8,7,13.08,1,Graduate
100.0,120.0,1,1,19,0,1,1,5,4,10.5,1,Graduate
117.6,124.0,1,19,38,1,1,1,6,6,10.666666666666666,1,Graduate
100.8,133.1,1,1,1,0,1,1,7,0,0.0,1,Dropout
105.0,133.1,1,19,1,1,1,41,6,6,14.0,0,Graduate
100.0,133.1,1,1,1,0,1,41,6,2,12.0,1,Dropout
115.5,133.1,10,37,34,0,2,1,6,3,12.666666666666666,1,Dropout
114.0,133.1,1,37,19,0,2,1,8,8,11.875,1,Graduate
124.9,135.0,1,37,1,1,1,1,6,6,13.666666666666666,1,Graduate
120.3,132.0,1,37,37,1,1,1,7,7,13.75,1,Graduate
111.5,115.0,1,3,3,1,1,1,7,4,11.96,0,Dropout
128.8,130.0,42,38,38,0,1,1,10,8,12.875,1,Dropout
110.0,133.1,1,1,1,1,1,1,0,0,0.0,1,Graduate
113.5,130.0,1,37,37,1,2,1,6,0,0.0,1,Dropout
160.0,133.1,12,37,37,0,4,1,18,18,14.63157894736842,1,Graduate
117.4,123.0,1,19,19,1,1,1,6,0,0.0,1,Dropout
122.2,130.0,1,3,1,0,1,1,10,10,13.0,1,Graduate
118.2,122.0,1,37,38,1,1,1,6,0,0.0,1,Dropout
106.7,113.0,1,1,1,1,1,1,6,4,14.2,1,Dropout
108.2,111.0,1,3,4,1,1,1,7,6,13.266666666666666,1,Dropout
136.1,142.0,1,37,37,1,1,1,6,6,13.857142857142858,1,Graduate
139.8,131.0,1,19,19,1,1,1,5,5,13.4,1,Graduate
157.0,158.0,1,1,38,1,1,1,6,6,12.666666666666666,1,Graduate
131.0,122.0,1,37,37,1,1,1,7,6,12.516666666666666,1,Dropout
137.0,140.0,1,37,38,0,1,1,5,5,13.142857142857142,1,Graduate
121.8,127.0,1,2,19,0,1,1,5,5,12.6,1,Graduate
131.0,133.1,1,1,1,1,1,1,6,3,11.0,1,Dropout
118.6,120.0,1,19,19,1,1,1,5,5,10.8,1,Graduate
122.3,137.0,1,3,19,0,1,1,0,0,0.0,1,Dropout
127.9,131.0,1,38,38,0,1,1,5,5,12.8,1,Graduate
121.3,130.0,1,19,38,1,1,1,6,6,14.166666666666666,1,Graduate
117.1,122.0,1,1,1,1,1,1,7,5,12.1,1,Dropout
160.0,160.0,39,37,37,1,1,1,6,6,14.166666666666666,1,Graduate
122.6,131.0,1,1,39,1,1,1,6,6,13.0,1,Graduate
128.0,132.0,1,1,37,1,1,1,7,7,13.467142857142855,1,Graduate
124.9,138.0,1,19,19,1,1,1,7,7,13.2375,1,Dropout
123.7,130.0,1,37,37,1,1,1,6,6,12.333333333333334,1,Graduate
120.1,126.0,1,1,19,1,1,1,5,5,12.4,1,Graduate
131.7,148.0,1,1,19,1,1,1,7,5,14.0,1,Dropout
133.2,130.0,1,38,37,0,1,1,9,9,11.666666666666666,1,Graduate
109.3,117.0,1,1,38,0,1,1,6,5,12.0,0,Dropout
113.0,120.0,1,19,19,1,1,1,5,4,12.2,1,Graduate
157.9,153.0,1,1,1,0,1,1,6,6,14.833333333333334,1,Graduate
174.7,178.0,1,19,1,0,1,1,7,7,17.125,1,Graduate
128.8,129.0,1,37,37,1,1,1,7,6,12.666666666666666,1,Graduate
110.1,116.0,1,19,1,1,1,1,6,6,12.666666666666666,1,Graduate
121.0,135.0,1,1,12,1,1,1,6,6,11.333333333333334,1,Graduate
131.7,141.0,1,19,19,1,1,1,7,7,13.605,1,Graduate
119.1,132.0,1,37,38,1,1,1,6,5,12.0,1,Graduate
124.7,132.0,1,12,19,1,1,1,5,0,0.0,1,Dropout
117.2,113.0,1,1,37,1,1,1,6,5,11.2,1,Dropout
128.8,134.0,1,3,19,0,1,1,5,5,13.375,1,Graduate
131.5,136.0,1,1,19,0,1,1,7,6,13.863333333333337,1,Graduate
123.4,129.0,1,1,38,0,1,1,5,5,12.4,1,Graduate
132.8,137.0,1,37,37,1,1,1,6,6,13.333333333333334,1,Graduate
108.7,115.0,1,3,37,1,1,1,6,3,12.666666666666666,1,Dropout
138.1,129.0,1,38,37,0,1,1,6,6,12.0,1,Dropout
126.5,131.0,1,38,38,0,1,1,5,5,10.6,1,Graduate
127.4,133.0,1,1,37,1,1,1,6,6,12.25,1,Graduate
123.6,125.0,1,19,1,1,1,1,6,4,11.0,1,Graduate
122.0,120.0,1,1,19,0,1,1,6,5,11.0,1,Graduate
118.2,128.0,1,19,1,0,1,1,6,6,13.166666666666666,1,Dropout
123.9,127.0,1,19,37,1,1,1,7,7,12.855555555555554,1,Graduate
125.8,134.0,1,19,19,1,1,1,7,7,14.91875,1,Graduate
123.3,132.0,1,12,12,1,1,1,6,4,11.5,1,Dropout
124.4,124.0,1,1,19,0,1,1,5,5,14.2,1,Graduate
126.0,133.1,1,19,37,0,1,1,6,6,12.5,1,Graduate
121.5,125.0,1,19,19,0,1,1,6,5,11.666666666666666,1,Graduate
130.0,130.0,3,2,2,0,1,1,8,7,14.257142857142856,1,Graduate
117.0,125.0,1,19,19,1,1,1,6,3,12.0,1,Dropout
108.0,133.1,1,37,37,0,1,1,7,7,12.457142857142856,1,Graduate
132.3,131.0,1,2,38,1,1,1,7,6,11.683333333333332,1,Graduate
148.0,150.0,1,19,2,0,1,1,6,3,11.666666666666666,1,Graduate
122.6,125.0,1,37,37,1,1,1,6,4,11.75,0,Dropout
102.5,130.0,1,37,19,0,1,1,6,5,13.2,1,Graduate
113.3,123.0,1,34,34,1,1,1,7,4,11.95,1,Dropout
133.0,141.0,1,37,19,1,1,1,6,5,12.4,1,Dropout
140.0,140.0,3,1,1,0,1,1,7,6,14.35,1,Dropout
128.3,140.0,1,3,1,1,1,1,21,21,12.61904761904762,1,Graduate
104.0,133.1,19,19,19,0,1,1,6,5,12.0,0,Dropout
122.3,131.0,1,1,37,1,1,1,6,6,12.166666666666666,0,Dropout
135.0,143.0,1,1,19,0,1,1,6,0,0.0,1,Dropout
119.1,132.0,1,3,3,1,1,1,5,3,10.0,0,Dropout
129.0,141.0,1,38,1,1,1,1,7,6,13.05,1,Graduate
162.3,133.1,1,1,19,1,1,1,6,2,11.0,1,Dropout
163.4,148.0,1,1,3,1,1,1,6,6,11.5,1,Graduate
121.5,125.0,1,19,38,0,1,1,6,6,12.0,1,Graduate
118.0,140.0,1,12,3,1,1,1,5,0,0.0,1,Dropout
134.0,139.0,1,1,1,0,1,1,6,0,0.0,1,Dropout
129.8,142.0,1,38,38,1,1,1,8,7,12.242857142857144,1,Graduate
152.0,130.0,40,19,1,1,1,1,5,0,0.0,1,Dropout
122.8,126.0,1,37,37,1,1,1,8,8,12.93375,1,Graduate
150.0,150.0,3,3,2,0,1,1,5,0,0.0,1,Dropout
131.8,130.0,1,19,19,0,1,1,7,7,12.571428571428571,1,Graduate
132.1,138.0,1,1,1,1,1,1,5,4,13.75,1,Graduate
